终于学到数组项目计划表,,,,,
时间,计划安排(预计的项目流程),实际进度(项目会议记录),,,
,,"到场: 小西瓜，衔鱼，小元，小占，ltachi，阿通，李叫，阿飘，小天
迟到:无
请假: 无
旷会:无",暂未定档流程图,"[会议内容]:完善需求文档
[任务]:完善需求文档
内容:完善需求文档
截止时间:4号晚12点
负责人:西瓜
提交方式:给小学长",无
2025/8/5,"直播: 架构设计
小组会议内容: 统计细节部分(音乐/图片/规则/数值)的任务完成情况, 统计组员学习进度和时间安排(确保开发期间能参与任务安排)
任务: 安排搭建架构",会议到场情况(迟到/旷会需要说明原因),"当前进度
(完成设计阶段任务: 三份定档设计资料审核通过)","会议内容和任务安排
(讨论素材等内容的完成情况, 统计大家学习进度和时间安排
安排技术官做架构)",遇到的问题及是否解决(解决方案)
,,"到场: 小西瓜，衔鱼，小元，ltachi，阿通，李叫，阿飘，小天
迟到: 无
请假: 小占(外出)
旷会:无",设计资料均定档,"会议内容：定档流程图和原型图
截止时间：6号上午11点
负责人：西瓜
提交给小学长",大群直播的量太大
2025/8/6,"小组会议内容: 技术官展示架构完成情况  讨论细节内容(比如和设计不一致的, 涉及额外技术需要准备的等等)
任务: 继续搭建架构.  如果架构完成, 开始分工开发
组员完成的函数提交给xxx进行整合",会议到场情况(迟到/旷会需要说明原因),"当前进度
(架构进行中: 讨论架构搭建进度, 是否有遇到问题等等)","会议内容和任务安排
(讨论架构情况, 继续昨天的任务安排
如果架构已经完成了 安排组员分工开发)",遇到的问题及是否解决(解决方案)
,,"到场:  小西瓜，衔鱼，小元，ltachi，阿通，李叫，阿飘，小天
迟到: 昵称3
请假: 小占(外出)
旷会:无",讨论架构,"会议内容：讨论架构
截止时间：7号中午12：00
负责人：西瓜",无
2025/8/7,"小组会议内容: 技术官展示架构内容, 讨论分工安排
任务:开始分工开发, 确定每个组员分别负责哪些内容的开发, 截止时间, 提交给谁.",会议到场情况(迟到/旷会需要说明原因),"当前进度
(完成架构, 开始分工开发
如果昨天已经分工 收集昨天安排的代码任务, 讨论整合已完成代码)","会议内容和任务安排
(讲解架构思路 安排分工)",遇到的问题及是否解决(解决方案)
,,"到场: 小西瓜，衔鱼，小元，ltachi，阿通，李叫，阿飘，小天
迟到: 昵称3
请假:小占(外出)
旷会:昵称5(原因)",开始分工开发,"讲解架构思路，分工安排
负责人：西瓜",无
2025/8/8,"小组会议内容: 统计每个人开发进度, 讨论遇到的问题并处理, 提醒大家注意常见问题, 收集整合已经提交的代码
任务: 有问题的代码重新分工, 技术官设计拓展部分架构",会议到场情况(迟到/旷会需要说明原因),"当前进度
(收集昨天安排的代码任务, 讨论整合已完成代码)","会议内容和任务安排
(统计目前代码完成情况 提醒组员注意常见问题(比如没有按架构的要求写代码)
处理遇到的问题, 如果拓展架构已经完成了 安排拓展部分的分工)",遇到的问题及是否解决(解决方案)
,,"到场:小西瓜，衔鱼，小元，ltachi，阿通，李叫，阿飘，小天
迟到: 昵称3
请假: 小占(外出)
旷会:昵称5(原因)",重整旗鼓,内容：架构再规划,无
2025/8/9,"小组会议内容: 统计每个人开发进度, 讨论遇到的问题并处理, 提醒大家注意常见问题, 收集整合已经提交的代码
任务: 有问题的代码重新分工, 技术官设计拓展部分架构",会议到场情况(迟到/旷会需要说明原因),"当前进度
(分工开发
收集已完成代码并整合, 讨论整合中遇到的问题, 未完成代码了解进度
如果拓展架构完成 分工拓展部分任务)","会议内容和任务安排
(统计目前代码完成情况 提醒组员注意常见问题(比如没有按架构的要求写代码)
处理遇到的问题, 如果拓展架构已经完成了 安排拓展部分的分工)",遇到的问题及是否解决(解决方案)
,,"到场: 小西瓜，衔鱼，小元，ltachi，阿通，李叫，阿飘，小天
迟到: 昵称3
请假: 小占(外出)
旷会:昵称5(原因)",分工开发，收集已完成代码并整合，未完成代码了解进度,安排按照架构写代码,无
2025/8/10,"小组会议内容: 统计每个人开发进度, 讨论遇到的问题并处理, 提醒大家注意常见问题, 收集整合已经提交的代码
任务: 有问题的代码重新分工, 技术官设计拓展部分架构",会议到场情况(迟到/旷会需要说明原因),"当前进度
(分工开发
收集已完成代码并整合, 讨论整合中遇到的问题, 未完成代码了解进度
如果拓展架构完成 分工拓展部分任务)","会议内容和任务安排
(统计目前代码完成情况 如果核心功能整合完成: 安排测试任务)",遇到的问题及是否解决(解决方案)
,,"到场: 小西瓜，小元，阿通，李叫，阿飘，小天
迟到: 昵称3
请假: 小占(外出)衔鱼(外出)Itachi（外出)
旷会:昵称5(原因)",整合和调试,正在整合测试,无
2025/8/11,"会议: 确认整合进度, 处理特殊情况, 测试/准备答辩资料
任务: 代码整合  完成整合后开始测试",会议到场情况(迟到/旷会需要说明原因),"当前进度
(测试, bug修补
收集已完成代码并整合, 安排测试任务, 优化细节(界面布局等等)
整理初版项目资料提交)","会议内容和任务安排
(统计目前代码完成情况和bug处理情况
开始准备答辩相关事项 比如PPT等内容)",遇到的问题及是否解决(解决方案)
,,"到场: 小西瓜，小元，阿通，李叫，阿飘，小天
迟到: 昵称3
请假: 小占(旅游)
旷会:昵称5(原因)",完成整合，分配答辩,演示项目，安排答辩,无
2025/8/12,测试/准备答辩资料,会议到场情况(迟到/旷会需要说明原因),"当前进度
(准备答辩相关内容
PPT, 答辩人确认, 答辩流程安排)","会议内容和任务安排
(统计目前代码完成情况和bug处理情况
开始准备答辩相关事项 比如PPT等内容)",遇到的问题及是否解决(解决方案)
,,"到场: 小西瓜，衔鱼，小元，ltachi，阿通，李叫，阿飘，小天
迟到: 昵称3
请假: 小占(原因)
旷会:昵称5(原因)",確認答辯人,准备答辩,无
2025/8/13,答辩,,,,
,答辩,,,,
,,,,,
